lat,lon,frp
-13.2646,-56.7746,326.9
-13.2834,-56.7929,240.5
-13.2836,-56.7728,140.8
-2.9945,-50.4816,115.8
-2.9946,-50.4606,109.2
-3.013,-50.481,127.9
-3.013,-50.4601,104.1
-3.2199,-54.3038,76.5
-3.22,-54.2837,145.8
-3.22,-54.2636,112.7
-3.234,-50.5999,145.1
-3.234,-50.5789,67.7
-3.2383,-54.2832,75.4
-3.2524,-50.5993,80.1
-4.0814,-51.0292,46
-4.0966,-48.1875,47.9
-4.2614,-48.5465,52.9
-4.4607,-46.3306,66.3
-4.4492,-54.9864,33.9
-4.4676,-54.9858,34.5
-6.7632,-49.4736,96.8
-7.472,-49.486,43.3
-8.7808,-49.6341,65.6
-8.7811,-49.6127,106.1
-8.9967,-60.5916,73.2
-9.0153,-60.5907,107.1
-9.1253,-67.9432,48.1
-9.1254,-67.9247,69.4
-9.3079,-64.3587,50
-9.7769,-60.7828,62.5
-11.7686,-64.9373,67.4
-13.2452,-56.7965,101.7
-13.2455,-56.7763,74.7
-13.2643,-56.7947,395.2
-13.2646,-56.7746,217.4
-13.2834,-56.7929,210.3
-13.2836,-56.7728,114.3
-2.9945,-50.4816,138.9
-2.9946,-50.4606,118.9
-3.013,-50.481,128.6
-3.013,-50.4601,117.6
-3.22,-54.2837,123.2
-3.22,-54.2636,112.4
-3.234,-50.5999,158.4
-3.234,-50.5789,80
-3.2383,-54.3033,64.6
-3.2383,-54.2832,65.7
-3.2524,-50.5993,65.8
-4.4676,-54.9858,41.3
-6.9585,-55.1758,56.2
-7.9905,-71.5085,45.2
-8.5051,-54.6202,87.3
-8.5053,-54.6,54.9
-8.7811,-49.6127,76.2
-8.7999,-49.611,61.6
-8.8024,-71.17,62.4
-8.9967,-60.5916,72.4
-9.0153,-60.5907,100
-9.1439,-67.9243,55.4
-9.7769,-60.7828,58
-13.2643,-56.7947,335.3
-13.2646,-56.7746,249.7
-13.2834,-56.7929,101.9
-13.2836,-56.7728,74.9
-2.9945,-50.4816,127.2
-2.9946,-50.4606,107.3
-3.013,-50.481,140.6
-3.013,-50.4601,100.2
-3.2199,-54.3038,40.8
-3.22,-54.2837,110.7
-3.22,-54.2636,98.6
-3.234,-50.5999,200
-3.234,-50.5789,98.7
-3.2524,-50.5993,68.7
-4.4607,-46.3306,52.9
-4.4676,-54.9858,41.4
-7.472,-49.486,44.5
-8.1798,-64.0792,57
-8.5051,-54.6202,51.6
-8.5227,-54.7402,27.4
-8.7808,-49.6341,58.4
-8.7811,-49.6127,82.9
-8.8024,-71.1883,65.3
-8.8024,-71.17,77.3
-8.9967,-60.5916,75.6
-9.0153,-60.5907,99.5
-9.1254,-67.9247,64.5
-9.7769,-60.7828,53.6
-13.2452,-56.7965,116.1
-13.2455,-56.7763,90.3
-13.2643,-56.7947,288.9
-13.2646,-56.7746,212.8
-13.2834,-56.7929,118.9
-13.2836,-56.7728,92.9
-2.9945,-50.4816,121.7
-2.9946,-50.4606,95.6
-3.013,-50.481,153.7
-3.013,-50.4601,106.8
-3.2199,-54.3038,74.1
-3.22,-54.2837,129.7
-3.22,-54.2636,95.6
-3.234,-50.5999,197
-3.234,-50.5789,100.7
-3.2383,-54.2832,64.8
-3.2524,-50.5993,119.7
-3.2525,-50.5784,61.4
-3.3143,-49.0769,51.1
-4.0966,-48.1875,48
-4.4607,-46.3306,54.2
-7.2728,-72.0258,47.6
-8.7811,-49.6127,65.8
-8.8024,-71.1883,71.6
-8.8024,-71.17,79.6
-8.9967,-60.5916,75.1
-9.0153,-60.5907,91.4
-9.7769,-60.7828,48.6
-13.2452,-56.7965,95.8
-13.2455,-56.7763,71.2
-13.2643,-56.7947,330.6
-13.2646,-56.7746,197.5
-13.2834,-56.7929,124.6
-13.2836,-56.7728,79.6
-2.9945,-50.4816,123
-2.9946,-50.4606,106.3
-3.013,-50.481,146.1
-3.013,-50.4601,132.2
-3.2199,-54.3038,67.1
-3.22,-54.2837,127.7
-3.22,-54.2636,96.3
-3.234,-50.5999,222.1
-3.234,-50.5789,104.4
-3.2524,-50.5993,130
-3.2525,-50.5784,63.9
-3.3143,-49.0769,48.8
-4.4676,-54.9858,38
-7.2728,-72.0258,51.3
-8.7811,-49.6127,58.1
-8.8024,-71.1883,62
-8.8024,-71.17,60
-8.9967,-60.5916,72.4
-9.0153,-60.5907,83.3
-13.2452,-56.7965,120.1
-13.2455,-56.7763,80.5
-13.2643,-56.7947,355.4
-13.2646,-56.7746,283.3
-13.2834,-56.7929,127.6
-13.2836,-56.7728,110
-2.9945,-50.4816,112.7
-2.9946,-50.4606,90.1
-3.013,-50.481,146.3
-3.013,-50.4601,105.7
-3.2199,-54.3038,66.3
-3.22,-54.2837,119.2
-3.22,-54.2636,85.3
-3.234,-50.5999,226.7
-3.234,-50.5789,101.4
-3.2524,-50.5993,125.4
-3.2525,-50.5784,61.8
-3.3143,-49.0769,49.1
-5.1146,-46.0264,55.3
-8.7811,-49.6127,66.4
-8.9967,-60.5916,61.7
-9.0153,-60.5907,95.2
-9.1254,-67.9247,53
-9.442,-63.5998,32.1
-13.2452,-56.7965,187.3
-13.2455,-56.7763,143.4
-13.2643,-56.7947,496.5
-13.2646,-56.7746,391.2
-13.2834,-56.7929,145.1
-13.2836,-56.7728,128.5
-2.9945,-50.4816,107.6
-2.9946,-50.4606,88.3
-3.013,-50.481,147.4
-3.013,-50.4601,109.4
-3.22,-54.2837,89.9
-3.22,-54.2636,70.1
-3.234,-50.5999,166.1
-3.234,-50.5789,91.9
-3.2383,-54.2832,62.5
-3.2524,-50.5993,150.5
-3.2525,-50.5784,89.4
-8.7811,-49.6127,63.6
-9.0153,-60.5907,89
-13.2452,-56.7965,117.1
-13.2455,-56.7763,104.3
-13.264,-56.8149,61.4
-13.2643,-56.7947,432.5
-13.2646,-56.7746,369.4
-2.3012,-47.9906,43.2
-2.3197,-47.9902,49.7
-2.7133,-51.7974,85.8
-2.9677,-47.9282,83.7
-4.2427,-48.5689,126.8
-4.2614,-48.5465,219.8
-4.2429,-48.5474,148.9
-4.2613,-48.5681,183
-4.6476,-46.2095,36.1
-4.6478,-46.1872,51.7
-4.8041,-47.828,230.9
-4.8225,-47.8488,51.2
-4.7054,-45.9388,19.1
-4.8039,-47.8498,213.3
-4.8227,-47.827,55.8
-4.9497,-48.2754,100.3
-7.6689,-67.3667,49.4
-8.7601,-66.618,98
-8.7602,-66.5995,91.8
-8.7786,-66.6175,75.8
-8.9969,-63.5419,51.9
-11.6788,-54.528,81.5
-11.6786,-54.5484,125.2
-11.956,-56.6499,81.3
-12.0552,-57.9188,65.5
-12.0365,-57.9005,95.7
-12.0363,-57.9203,94.9
-12.0756,-54.6131,86.6
