lat;lon;frp
-9208000;-65804400;48.2
-9208100;-65785700;71.8
-9208100;-65767000;56.6
-9256800;-67421300;56.7
-9326700;-64301600;71.5
-9350000;-63452400;97.8
-9368600;-63451600;55.3
-9406200;-60532600;67.0
-9537800;-66726200;48.9
-9556300;-66725600;59.7
-9673700;-53659200;66.8
-9673900;-53638700;103.6
-9675000;-53536100;47.6
-9692500;-53657700;114.4
-9692700;-53637200;97.1
-9683500;-58459300;63.9
-9683700;-58439700;50.0
-9702200;-58458200;62.0
-9787900;-53506300;47.9
-9779300;-63169500;77.4
-9779400;-63150500;62.9
-9797900;-63168600;75.7
-9798100;-63149700;59.2
-9917300;-57381900;55.1
-10621200;-54601600;61.4
-10621500;-54581200;80.2
-10909300;-54127600;70.9
-10909500;-54107100;54.0
-10928200;-54125900;55.4
-10928400;-54105400;46.4
-13239800;-54371600;51.6
-14724800;-59342800;44.5
-14725100;-59322900;50.2
-3076100;-59432600;135.4
-3076200;-59413400;206.4
-3094400;-59432200;48.3
-3094400;-59413100;70.8
-4301200;-48091700;56.6
-5098000;-48310600;53.9
-5116500;-48331200;47.4
-5116600;-48309500;165.8
-5116800;-48287900;48.3
-5307800;-60200800;60.5
-5234800;-60107500;57.8
-6429800;-60049100;72.6
-6672800;-63169500;45.6
-6710000;-59346700;69.0
-6710100;-59327400;99.0
-6710200;-59308100;84.8
-6728400;-59346000;84.3
-6728500;-59326700;87.8
-6728600;-59307400;84.4
-6966600;-59625200;55.3
-7023400;-62933100;52.3
-7041800;-62932500;83.4
-7098100;-59234300;96.0
-7182000;-60690400;83.7
-7182200;-60671300;89.9
-7200500;-60689700;108.0
-7200600;-60670600;105.4
-7311600;-60628000;83.7
-7403800;-64365600;44.4
-7403900;-64346900;59.6
-7422300;-64346400;100.9
-7422400;-64327700;72.0
-7610800;-63403200;44.4
-7993600;-49658500;59.6
-7960500;-63598300;52.5
-8130700;-54846400;49.2
-8204400;-62873500;50.0
-8408500;-62752400;169.0
-8408600;-62733500;178.5
-8427000;-62751700;421.2
-8427100;-62732700;421.9
-8503300;-54822200;72.2
-8591800;-67141800;71.7
-8610100;-67196900;63.1
-8631700;-62573200;105.6
-8650200;-62572400;133.8
-8854800;-62450300;68.0
-8855000;-62431300;59.9
-8873500;-62430500;62.5
-8873600;-62411500;109.7
-8873700;-62392500;68.0
-8892100;-62429700;62.2
-8892200;-62410700;99.6
-8907700;-66725400;67.2
-8907800;-66706900;153.1
-8907900;-66688300;76.3
-8926300;-66706400;79.4
-8926400;-66687800;52.9
-8947600;-62446400;63.0
-8948100;-62370400;61.2
-8966500;-62388600;101.0
-8966600;-62369600;102.8
-9040800;-65902800;50.8
-9040800;-65884200;116.5
-9040900;-65865500;87.7
-9059300;-65902300;49.9
-9059400;-65883600;127.5
-9059500;-65865000;107.7
-9121500;-61371700;52.2
-9121600;-61352600;53.2
-9153200;-59522100;49.9
-9135000;-65545300;53.4
-9191400;-59384300;72.2
-9172000;-65562800;50.3
-9199100;-60889000;81.2
-9189500;-65786300;70.0
-9189600;-65767600;53.1
-9217600;-60907300;64.4
-9217700;-60888100;249.2
-9217800;-60868900;87.4
-9208100;-65785700;72.2
-9208100;-65767000;57.9
-9326700;-64301600;68.4
-9350000;-63452400;92.0
-9406200;-60532600;63.1
-9537800;-66726200;49.0
-9556300;-66725600;62.8
-9673700;-53659200;61.5
-9673900;-53638700;93.5
-9675000;-53536100;45.5
-9692500;-53657700;109.6
-9692700;-53637200;88.2
-9683500;-58459300;59.5
-9702200;-58458200;60.3
-9779300;-63169500;124.9
-9779400;-63150500;92.7
-9797900;-63168600;120.0
-9798100;-63149700;84.2
-10621200;-54601600;49.0
-10621500;-54581200;68.3
-10909300;-54127600;63.5
-10909500;-54107100;47.6
-10928200;-54125900;49.0
-10928400;-54105400;41.3
-13239800;-54371600;47.5
-14725100;-59322900;43.0
-3076100;-59432600;140.2
-3076200;-59413400;209.0
-4301200;-48091700;53.4
-5098000;-48310600;48.7
-5116500;-48331200;49.1
-5116600;-48309500;168.7
-5116800;-48287900;46.8
-5234800;-60107500;64.8
-5307800;-60200800;62.0
-5804400;-53461400;48.7
-6429700;-60068200;46.7
-6429800;-60049100;82.0
-6710000;-59346700;72.0
-6710100;-59327400;92.8
-6710200;-59308100;74.5
-6728400;-59346000;75.0
-6728500;-59326700;86.0
-6728600;-59307400;90.9
-6966600;-59625200;56.8
-7041800;-62932500;111.8
-7098100;-59234300;80.0
-7182000;-60690400;59.9
-7182200;-60671300;60.3
-7200500;-60689700;124.8
-7200600;-60670600;125.7
-7311600;-60628000;73.9
-7330000;-60627300;50.5
-7403900;-64346900;56.4
-7422300;-64346400;90.6
-7422400;-64327700;62.4
-8371300;-62791600;55.1
-8408500;-62752400;204.0
-8408600;-62733500;194.1
-8427000;-62751700;355.6
-8427100;-62732700;313.9
-8445500;-62750900;46.2
-8503300;-54822200;65.8
-8554800;-63087000;49.5
-8591800;-67141800;63.7
-8610100;-67196900;51.4
-8631700;-62573200;105.8
-8650200;-62572400;124.1
-8854800;-62450300;60.8
-8855000;-62431300;50.7
-8873500;-62430500;61.5
-8873600;-62411500;106.6
-8873700;-62392500;64.4
-8892100;-62429700;55.5
-8892200;-62410700;86.3
